id,name,quality
25,"Abgenutztes Kurzschwert",1
35,"Gebogener Stab",1
36,"Abgenutzter Streitkolben",1
37,"Abgenutzte Axt",1
38,Rekrutenhemd,1
39,Rekrutenhose,0
40,Rekrutenstiefel,1
43,Knappenstiefel,1
44,Knappenhose,0
45,Knappenhemd,1
47,Straßenräuberschuhe,1
48,Straßenräuberhose,0
49,Straßenräuberhemd,1
51,Neophytenstiefel,1
52,Neophytenhose,0
53,Neophytenhemd,1
55,Lehrlingsstiefel,1
56,Lehrlingsrobe,0
57,Akolytenrobe,0
59,Akolytenschuhe,1
60,"Mehrlagige Tunika",1
61,"Zwergische Lederhose",1
79,"Zwergische Stoffkniehose",1
80,"Weiche fellgefütterte Schuhe",1
85,"Schmutzige Lederweste",1
117,"Zähes Stockfleisch",1
118,"Schwacher Heiltrank",1
119,"Ausgediente Schurkenweste",1
120,Rohlingshose,0
121,Rohlingsstiefel,1
127,Fallenstellerhemd,1
128,"Ausgediente Taurenfallenstellerhose",0
129,"Unverwüstliche Fallenstellerstiefel",1
139,Muskelprotzhose,0
140,Muskelprotzstiefel,1
147,"Unverwüstliche Fallenstellerhose",0
148,"Unverwüstliches Fallenstellerhemd",1
153,"Primitiver Kilt",0
154,"Primitiver Mantel",1
159,"Erfrischendes Quellwasser",1
182,"Garricks Kopf",1
193,"Zerlumpte Stoffweste",1
194,"Zerlumpte Stoffhose",1
195,"Zerlumpte Stoffstiefel",1
200,"Dicke Stoffweste",1
201,"Dicke Stoffhose",1
202,"Dicke Stoffschuhe",1
203,"Dicke Stoffhandschuhe",1
209,"Schmutzige Lederhose",1
210,"Schmutzige Lederstiefel",1
236,"Geschmeidige Lederrüstung",1
237,"Geschmeidige Lederhose",1
238,"Geschmeidige Lederstiefel",1
239,"Geschmeidige Lederhandschuhe",1
285,Schuppenpanzerweste,1
286,Schuppenpanzerhose,1
287,Schuppenpanzerstiefel,1
414,"Pikanter Dalarankäse",1
422,Zwergenmild,1
537,"Glanzlose Frenzyschuppe",0
555,"Raue Geierfedern",0
556,Bussardschnabel,0
647,Schicksal,4
710,"Armschienen der Volksmiliz",1
711,"Zerlumpte Stoffhandschuhe",1
714,"Schmutzige Lederhandschuhe",1
718,Schuppenpanzerhandschuhe,1
719,"Handschuhe des Hasenjägers",1
720,Muskelprotzhandschuhe,3
723,Geiferzahnleber,1
724,"Pastete aus Geiferzahnleber",1
725,Gnolltatze,1
727,"Schartiges Kurzschwert",2
728,"Rezept: Westfalleintopf",1
729,"Sehniges Geierfleisch",1
730,Murlocauge,1
731,Geiferzahnschnauze,1
732,Okraschote,1
733,Westfalleintopf,1
735,"Medaillons von Rolf und Malakai",1
737,"Wasser der Heiligen Quelle",1
738,"Sack Gerste",1
739,"Sack Korn",1
740,"Sack Roggen",1
742,"Ast eines Bergahorns",1
743,"Verkohltes Eichenbündel",1
744,"Donnerbräus Stiefelflachmann",2
745,"Marschall McBrides Dokumente",1
748,"Rüstungsgutschein der Armee von Sturmwind",1
750,"Zähes Wolfsfleisch",1
752,"Rotes Sackleinenkopftuch",1
753,"Kurzschwert des Drachenmals",2
754,"Kurzschwert der Rache",3
755,"Geschmolzene Kerze",0
756,Tunnelhacke,2
763,"Eisbedeckte Armschienen",1
765,Silberblatt,1
766,"Gebördelter Streitkolben",1
767,"Langer Bo",1
768,Holzfälleraxt,1
769,"Brocken Eberfleisch",1
770,"Spitzer Krokiliskenzahn",0
771,"Gesplitterter Eberhauer",0
772,"Große Kerze",1
773,Goldstaub,1
774,Malachit,2
776,Blutrache,3
777,Streunerzähne,0
778,"Ausgrabungshacke eines Kobolds",1
779,"Glänzende Seemuschelschale",0
780,"Zerrissene Murlocflosse",1
781,Steingnollhammer,1
782,"Bemalte Gnollarmbinde",1
783,"Leichter Balg",1
785,Maguskönigskraut,1
787,Glitschhautmakrele,1
789,"Plumper Kampfhammer",2
790,Waldmannsaxt,2
791,"Knorriger Eschenstab",3
792,"Gestrickte Sandalen",1
793,"Gestrickte Handschuhe",1
794,"Gestrickte Hose",1
795,"Gestrickte Tunika",1
796,"Raue Lederstiefel",1
797,"Raue Lederhandschuhe",1
798,"Raue Lederhose",1
799,"Raue Lederweste",1
804,"Großer blauer Sack",1
805,"Kleiner roter Beutel",1
809,Blutklinge,4
810,"Hammer des Nordwindes",4
811,"Axt des Tiefwaldes",4
812,"Glimmender Reinholzstab",4
814,"Fläschchen Öl",1
816,"Kleine Handklinge",2
818,Tigerauge,2
820,Schneideklinge,2
821,"Lederweste der Flusspfoten",2
826,"Derbe Axt der Flusspfoten",2
827,"Heimtückischer Totschläger",2
828,"Kleiner blauer Beutel",1
829,"Rotes Lederkopftuch",1
832,"Silberner Gürtel der Defias",2
833,Lebensstein,4
835,"Großes Seilnetz",1
837,"Schwere Stoffrüstung",1
838,"Schwere Stoffhose",1
839,"Schwere Stoffhandschuhe",1
840,"Schwere Stoffschuhe",1
841,"Brauenwirbels Taschenuhr",1
843,"Gegerbte Lederstiefel",1
844,"Gegerbte Lederhandschuhe",1
845,"Gegerbte Lederhose",1
846,"Gegerbtes Lederwams",1
847,Kettenpanzerrüstung,1
848,Kettenpanzerhose,1
849,Kettenpanzerstiefel,1
850,Kettenpanzerhandschuhe,1
851,Entersäbel,1
852,Streitkolben,1
853,Kriegsbeil,1
854,Hirtenstab,1
856,"Blaue Ledertasche",1
857,"Großer roter Sack",1
858,"Geringer Heiltrank",1
859,"Feines Stoffhemd",1
860,Chevaliersstiefel,1
862,"Runenverzierter Ring",3
863,Düsterschneide,2
864,"Ritterliches Langschwert",2
865,Bleistreitkolben,2
866,Mönchsstab,2
867,"Handschuhe der Heiligen Macht",4
868,"Inbrünstiger Hüter",4
869,"Funkelndes Langschwert",4
870,"Feurige Kriegsaxt",4
871,Wirbelwindaxt,4
872,Steinschneider,3
873,"Stab des Jordan",4
878,"Faustgroße Spinndrüse",0
880,"Stab des Schreckens",2
884,Ghulrippe,1
885,Schwarzmetallaxt,2
886,Schwarzmetallkurzschwert,2
887,"Pfund Fleisch",0
888,Nagakampfhandschuhe,3
889,"Ein verstaubter, nie abgeschickter Brief",1
890,"Stab des verrückten Sängers",3
892,Gnollzauberhandschuhe,2
893,Terrorwolffangzahn,0
895,Worgenschädel,1
896,Worgfangzahn,1
897,Irrwolfarmschienen,2
899,Giftweberzahn,2
910,"Ein niemals zugestellter Brief",1
911,Eisenholzzweig,2
914,"Große Ogerkettenrüstung",2
915,"Rotes Seidenkopftuch",1
916,"Eine zerrissene Tagebuchseite",1
918,Deviathautpack,1
920,"Heimtückischer Stachelstreitkolben",2
921,"Eine verblasste Tagebuchseite",1
922,"Dakische Sichel",1
923,Langschwert,1
924,Schlägel,1
925,Dreschflegel,1
926,Streitaxt,1
927,Doppelaxt,1
928,Langstab,1
929,Heiltrank,1
932,"Satteltaschen für ein Teufelsross",1
933,"Großer Rucksack",1
934,"Stalvans Schneide",3
935,"Kurzschwert der Nachtwache",3
936,Mitternachtsstreitkolben,3
937,"Schwarzer Dämmerwaldstab",3
938,"Schlammverschmierte Tagebuchseiten",1
939,"Eine blutbefleckte Tagebuchseite",1
940,"Roben der Einsicht",4
942,"Band der Eiseskälte",4
943,"Stab des Aufsehers",4
944,"Stab des Elementarmagiers",4
954,"Rolle der Stärke",1
955,"Rolle der Intelligenz",1
957,"Williams Lieferung",1
961,Heilkraut,1
962,Schweinebauchpastete,1
981,"Bernices Halskette",1
983,"Rote Leinenschärpe",1
1006,Messinghalsband,1
1008,"Eingeschliffenes Schwert",1
1009,"Kompakter Hammer",2
1010,"Knorriger Kurzstab",1
1011,"Scharfe Axt",1
1013,Eisenniete,1
1015,"Magere Wolfflanke",1
1017,"Gewürzter Wolfskebab",1
1019,"Rotes Leinenkopftuch",1
1074,"Harte Spinnenbeinspitze",0
1075,Schattenfellanhänger,1
1076,"Renegatenring der Defias",2
1077,"Magierring der Defias",2
1080,"Zähes Kondorfleisch",1
1081,"Knuspriges Spinnenfleisch",1
1082,Rotkammgulasch,1
1083,"Glyphe von Azora",1
1113,"Herbeigezaubertes Brot",1
1114,"Herbeigezaubertes Roggenbrot",1
1116,"Ring aus reinem Silber",2
1121,"Füße des Luchses",3
1127,Blitzstrahlbündel,1
1129,Ghulfangzahn,1
1130,"Phiole mit Spinnengift",1
1131,"Totem des Gegenschlages",2
1132,"Horn des Waldwolfs",3
1154,"Gürtel der Volksmiliz",1
